duration,avg_vote,budget,worldwide_gross_income,metascore,director_power,book_label,production_power,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
98,8.1,165000000,494878759,75,1638216431,0,9703091422,698491347,68000000,1027.1931573529412,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,6.3,165000000,752600867,58,1442160764,0,9703091422,348319861,34000000,1024.4701794117648,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,7.8,180000000,1017003568,58,2931390211,0,4777019192,172935,17000,1017.2647058823529,0.0,1.0,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,7.4,10000000,28641776,80,28641776,0,59130380,5060438,500000,1012.0876000000001,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,6.2,38000000,31505287,49,31505287,0,31505287,9097072,900000,1010.7857777777778,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
110,6.2,180000000,356700357,44,1825594766,0,387500588,195333312,19400000,1006.8727422680413,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,7.0,5000000,5144717,76,5144717,0,19456418,20014680,2000000,1000.7339999999999,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
103,4.0,150000000,319713881,20,1187229322,0,15651908509,287144079,29000000,990.1519965517242,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,5.0,20000000,55362705,16,55362705,0,55362705,27365467,2800000,977.3381071428572,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
100,6.4,110000000,293503354,65,360483810,0,14480294208,146428180,15000000,976.1878666666667,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,7.5,32000000,147332697,74,586381611,0,5486083928,1450026933,150000000,966.684622,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,8.0,13000000,329398046,79,688598090,0,1075614691,57615777,6000000,960.26295,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
115,6.8,100000000,154711438,63,788988163,0,18598370331,14293601,1500000,952.9067333333334,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,6.9,230000000,757930663,66,1509982240,0,14480294208,235956898,25000000,943.8275920000001,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
